"montage","sacc_deg","opi_m","opi_sd","proj_m","ceil_m","bias_m","bias_sd","r2_m","p_med","frac_sig","tier"
"erpcore",0.25,0.373227265853357,0.0208268782253103,0.873363011230214,0.903148914701365,-0.0559567465553531,0.0176945431433844,0.496709915744699,0.00497512437810945,1,"exploratory"
"erpcore",0.5,0.42633273156407,0.0105840576184695,0.926614333832462,0.938523287789166,-0.00267097436195414,0.00514882868125251,0.668412636092005,0.00497512437810945,1,"confirmatory"
"erpcore",1,0.42866771359036,0.00940899477260671,0.928921812560345,0.936129731009142,-0.000103210572242089,0.00321902370832108,0.774511230849856,0.00497512437810945,1,"confirmatory"
"erpcore",2,0.428603445556162,0.00915554252374886,0.928859851083506,0.933512361602267,-3.62796285597696e-06,0.00263806023873127,0.79028735617372,0.00497512437810945,1,"confirmatory"
"erpcore",4,0.428671527498528,0.00882596421807061,0.928979329997379,0.931259818602703,0.000153962318441396,0.00240997704093531,0.767986585168108,0.00497512437810945,1,"confirmatory"
"erpcore",8,0.428565103794699,0.00855101983455154,0.929023357618997,0.929769872875342,9.54404974208428e-05,0.00210694198095301,0.724193654374165,0.00497512437810945,1,"confirmatory"
"erpcore",12,0.428536107409995,0.00832941433572778,0.92908316310479,0.929430650520968,7.78859979781247e-06,0.001975915764803,0.678949759070716,0.00497512437810945,1,"confirmatory"
"full",0.25,0.395560675434224,0.0243630675818275,0.895476373671523,0.924818380136636,-0.033623336974487,0.0216297043260505,0.663807619360525,0.00497512437810945,1,"confirmatory"
"full",0.5,0.427283710928424,0.00942353101361727,0.927358509511794,0.9373566196532,-0.00171999499759921,0.00485969634017979,0.829848317074325,0.00497512437810945,1,"confirmatory"
"full",1,0.428470348901617,0.00877825148262118,0.928609396784104,0.93486321327988,-0.000300575260985532,0.00338692427184875,0.898935812976172,0.00497512437810945,1,"confirmatory"
"full",2,0.428452202334582,0.0086492215476756,0.928626312677977,0.93301617237044,-0.000154871184435916,0.00281853235119986,0.900157742626216,0.00497512437810945,1,"confirmatory"
"full",4,0.42852200087766,0.0086586367242005,0.928738449548361,0.931099944817395,4.43569757394013e-06,0.00269934010267931,0.861533959560628,0.00497512437810945,1,"confirmatory"
"full",8,0.428572101508816,0.00849902510309565,0.92891283360062,0.929693797865666,0.000102438211538075,0.0022457995710901,0.795396451075406,0.00497512437810945,1,"confirmatory"
"full",12,0.4286231721846,0.00842722512032973,0.928999808152807,0.929402021709544,9.4853374402723e-05,0.00225010989258665,0.754644491445047,0.00497512437810945,1,"confirmatory"
