"seed","scenario","sacc_deg","method","rank","opi","auc_proj","auc_ceiling","p_value"
1,"ocular_corr",0.25,"gaze",4,0.35980055823778,0.859883500975794,0.914314301199023,0.00497512437810945
1,"ocular_corr",0.25,"random",4,0.101158095727838,0.602436785253854,0.914314301199023,0.00497512437810945
1,"ocular_corr",0.25,"eog",2,0.112536499549809,0.613112524119402,0.914314301199023,0.00497512437810945
1,"ocular_corr",0.25,"frontal",17,0.372355636280405,0.872118525320367,0.914314301199023,0.00497512437810945
2,"ocular_corr",0.25,"gaze",4,0.411245596802828,0.911565086696187,0.937084419298638,0.00497512437810945
2,"ocular_corr",0.25,"random",4,0.21416100111698,0.717657437326279,0.937084419298638,0.00497512437810945
2,"ocular_corr",0.25,"eog",2,0.155518845485861,0.655599458143676,0.937084419298638,0.00497512437810945
2,"ocular_corr",0.25,"frontal",17,0.412310905900055,0.911917320998736,0.937084419298638,0.00497512437810945
3,"ocular_corr",0.25,"gaze",4,0.411810883416498,0.911197972436687,0.93145311219438,0.00497512437810945
3,"ocular_corr",0.25,"random",4,0.218937599550203,0.71833273468012,0.93145311219438,0.00497512437810945
3,"ocular_corr",0.25,"eog",2,0.145304253407322,0.644899560118625,0.93145311219438,0.00497512437810945
3,"ocular_corr",0.25,"frontal",17,0.417454322033769,0.916860939834548,0.93145311219438,0.00497512437810945
4,"ocular_corr",0.25,"gaze",4,0.398533666385135,0.897045166322196,0.921996700157825,0.00497512437810945
4,"ocular_corr",0.25,"random",4,0.186209974795098,0.684008186936168,0.921996700157825,0.00497512437810945
4,"ocular_corr",0.25,"eog",2,0.156819144438006,0.65507058184273,0.921996700157825,0.00497512437810945
4,"ocular_corr",0.25,"frontal",17,0.40050339562945,0.900258465156053,0.921996700157825,0.00497512437810945
5,"ocular_corr",0.25,"gaze",4,0.407467913161985,0.90829388421899,0.927940531922203,0.00497512437810945
5,"ocular_corr",0.25,"random",4,0.0859567697980241,0.585982192568851,0.927940531922203,0.00497512437810945
5,"ocular_corr",0.25,"eog",2,0.173033626673063,0.674483924060539,0.927940531922203,0.00497512437810945
5,"ocular_corr",0.25,"frontal",17,0.407337874369022,0.909562321252195,0.927940531922203,0.00497512437810945
6,"ocular_corr",0.25,"gaze",4,0.396425406899545,0.897163008240357,0.942058999145758,0.00497512437810945
6,"ocular_corr",0.25,"random",4,0.183306167587902,0.68127180422465,0.942058999145758,0.00497512437810945
6,"ocular_corr",0.25,"eog",2,0.143317782031886,0.643434943883301,0.942058999145758,0.00497512437810945
6,"ocular_corr",0.25,"frontal",17,0.407288614436388,0.908563565185555,0.942058999145758,0.00497512437810945
7,"ocular_corr",0.25,"gaze",4,0.379127724741632,0.879854970654388,0.913877974618956,0.00497512437810945
7,"ocular_corr",0.25,"random",4,0.165910071785694,0.666665204653029,0.913877974618956,0.00497512437810945
7,"ocular_corr",0.25,"eog",2,0.115616971879365,0.617217413650107,0.913877974618956,0.00497512437810945
7,"ocular_corr",0.25,"frontal",17,0.386774742078963,0.886987605651816,0.913877974618956,0.00497512437810945
8,"ocular_corr",0.25,"gaze",4,0.349765047818136,0.849609161845398,0.903639201626511,0.00497512437810945
8,"ocular_corr",0.25,"random",4,0.0731944075404143,0.572558611040677,0.903639201626511,0.00497512437810945
8,"ocular_corr",0.25,"eog",2,0.124012264158923,0.624551444974599,0.903639201626511,0.00497512437810945
8,"ocular_corr",0.25,"frontal",17,0.368296414166493,0.868598381905123,0.903639201626511,0.00497512437810945
9,"ocular_corr",0.25,"gaze",4,0.376283586156988,0.87823328338663,0.907443343971655,0.00497512437810945
9,"ocular_corr",0.25,"random",4,0.14777746657388,0.649527947831344,0.907443343971655,0.00497512437810945
9,"ocular_corr",0.25,"eog",2,0.12530487726269,0.627996686932192,0.907443343971655,0.00497512437810945
9,"ocular_corr",0.25,"frontal",17,0.383748082812204,0.884401032077368,0.907443343971655,0.00497512437810945
10,"ocular_corr",0.25,"gaze",4,0.424500037658409,0.925520885892662,0.934683112450696,0.00497512437810945
10,"ocular_corr",0.25,"random",4,0.0880209921309156,0.587308583977296,0.934683112450696,0.00497512437810945
10,"ocular_corr",0.25,"eog",2,0.167438751364648,0.666542701250729,0.934683112450696,0.00497512437810945
10,"ocular_corr",0.25,"frontal",17,0.425534755434788,0.925475785609864,0.934683112450696,0.00497512437810945
11,"ocular_corr",0.25,"gaze",4,0.425539734113653,0.92606298144837,0.935785521346255,0.00497512437810945
11,"ocular_corr",0.25,"random",4,0.185221080557258,0.683995119024743,0.935785521346255,0.00497512437810945
11,"ocular_corr",0.25,"eog",2,0.154538266858372,0.652410220558338,0.935785521346255,0.00497512437810945
11,"ocular_corr",0.25,"frontal",17,0.426221799543143,0.92792970076869,0.935785521346255,0.00497512437810945
12,"ocular_corr",0.25,"gaze",4,0.406227949818094,0.901286581940616,0.927543343707726,0.00497512437810945
12,"ocular_corr",0.25,"random",4,0.134364821793195,0.630817016762919,0.927543343707726,0.00497512437810945
12,"ocular_corr",0.25,"eog",2,0.155618406241708,0.652543041214209,0.927543343707726,0.00497512437810945
12,"ocular_corr",0.25,"frontal",17,0.409672006781683,0.906148553792363,0.927543343707726,0.00497512437810945
1,"ocular_corr",0.5,"gaze",4,0.41421955399877,0.913728585323779,0.929795288624332,0.00497512437810945
1,"ocular_corr",0.5,"random",4,0.206215831529867,0.707326000103975,0.929795288624332,0.00497512437810945
1,"ocular_corr",0.5,"eog",2,0.227504221744507,0.727860180168726,0.929795288624332,0.00497512437810945
1,"ocular_corr",0.5,"frontal",17,0.415084943833293,0.914595637313269,0.929795288624332,0.00497512437810945
2,"ocular_corr",0.5,"gaze",4,0.4231097646343,0.923937164656652,0.936625782477098,0.00497512437810945
2,"ocular_corr",0.5,"random",4,0.333665290468272,0.836929191145929,0.936625782477098,0.00497512437810945
2,"ocular_corr",0.5,"eog",2,0.27559084785443,0.775281939646831,0.936625782477098,0.00497512437810945
2,"ocular_corr",0.5,"frontal",17,0.424177146754418,0.923959535573772,0.936625782477098,0.00497512437810945
3,"ocular_corr",0.5,"gaze",4,0.437274398734824,0.937415016276414,0.944598999196185,0.00497512437810945
3,"ocular_corr",0.5,"random",4,0.336936690849753,0.836983147935963,0.944598999196185,0.00497512437810945
3,"ocular_corr",0.5,"eog",2,0.269426135331127,0.769305556547152,0.944598999196185,0.00497512437810945
3,"ocular_corr",0.5,"frontal",17,0.438271409293812,0.938508302341077,0.944598999196185,0.00497512437810945
4,"ocular_corr",0.5,"gaze",4,0.436434638606409,0.935394474917341,0.942703785792702,0.00497512437810945
4,"ocular_corr",0.5,"random",4,0.324580424341971,0.82251220104836,0.942703785792702,0.00497512437810945
4,"ocular_corr",0.5,"eog",2,0.274171274413801,0.772635549305344,0.942703785792702,0.00497512437810945
4,"ocular_corr",0.5,"frontal",17,0.435234183346931,0.935255300344042,0.942703785792702,0.00497512437810945
5,"ocular_corr",0.5,"gaze",4,0.425880782509362,0.926658340129324,0.937054101069974,0.00497512437810945
5,"ocular_corr",0.5,"random",4,0.146771293492909,0.646576946702547,0.937054101069974,0.00497512437810945
5,"ocular_corr",0.5,"eog",2,0.288326733753181,0.789722191832475,0.937054101069974,0.00497512437810945
5,"ocular_corr",0.5,"frontal",17,0.424857713078192,0.926872422694782,0.937054101069974,0.00497512437810945
6,"ocular_corr",0.5,"gaze",4,0.439792731366098,0.941056579165767,0.952713855840064,0.00497512437810945
6,"ocular_corr",0.5,"random",4,0.293126822642861,0.79166016954039,0.952713855840064,0.00497512437810945
6,"ocular_corr",0.5,"eog",2,0.260618348092955,0.760991627037207,0.952713855840064,0.00497512437810945
6,"ocular_corr",0.5,"frontal",17,0.439398287645579,0.941226570879243,0.952713855840064,0.00497512437810945
7,"ocular_corr",0.5,"gaze",4,0.420777827041846,0.921133729677839,0.933260549290054,0.00497512437810945
7,"ocular_corr",0.5,"random",4,0.270148596655468,0.771262588678893,0.933260549290054,0.00497512437810945
7,"ocular_corr",0.5,"eog",2,0.240255545335388,0.741454268439256,0.933260549290054,0.00497512437810945
7,"ocular_corr",0.5,"frontal",17,0.422806633280351,0.922759516155843,0.933260549290054,0.00497512437810945
8,"ocular_corr",0.5,"gaze",4,0.41711396516944,0.916927670029762,0.927662475789388,0.00497512437810945
8,"ocular_corr",0.5,"random",4,0.111791824677224,0.611113692730014,0.927662475789388,0.00497512437810945
8,"ocular_corr",0.5,"eog",2,0.227081861290857,0.727552221591981,0.927662475789388,0.00497512437810945
8,"ocular_corr",0.5,"frontal",17,0.418308837055944,0.918501363416918,0.927662475789388,0.00497512437810945
9,"ocular_corr",0.5,"gaze",4,0.413313577780385,0.914914215268863,0.923511579003961,0.00497512437810945
9,"ocular_corr",0.5,"random",4,0.266521398679764,0.768179342295071,0.923511579003961,0.00497512437810945
9,"ocular_corr",0.5,"eog",2,0.239290010595764,0.741644840101469,0.923511579003961,0.00497512437810945
9,"ocular_corr",0.5,"frontal",17,0.415443386317769,0.915669464327287,0.923511579003961,0.00497512437810945
10,"ocular_corr",0.5,"gaze",4,0.433397347660508,0.934035292005251,0.939970691943843,0.00497512437810945
10,"ocular_corr",0.5,"random",4,0.159130186044265,0.658086675888929,0.939970691943843,0.00497512437810945
10,"ocular_corr",0.5,"eog",2,0.300523952329541,0.79989220777496,0.939970691943843,0.00497512437810945
10,"ocular_corr",0.5,"frontal",17,0.43327458020265,0.933218617708474,0.939970691943843,0.00497512437810945
11,"ocular_corr",0.5,"gaze",4,0.432028734282288,0.933636954642728,0.940385496733335,0.00497512437810945
11,"ocular_corr",0.5,"random",4,0.304613316325451,0.803347886710176,0.940385496733335,0.00497512437810945
11,"ocular_corr",0.5,"eog",2,0.289298601167553,0.788376547004226,0.940385496733335,0.00497512437810945
11,"ocular_corr",0.5,"frontal",17,0.431581782637354,0.934332105649995,0.940385496733335,0.00497512437810945
12,"ocular_corr",0.5,"gaze",4,0.434061209356862,0.929464092047807,0.939996830077468,0.00497512437810945
12,"ocular_corr",0.5,"random",4,0.182955403514428,0.679640854502553,0.939996830077468,0.00497512437810945
12,"ocular_corr",0.5,"eog",2,0.281927523310342,0.779097641449924,0.939996830077468,0.00497512437810945
12,"ocular_corr",0.5,"frontal",17,0.432987314802354,0.929774286775962,0.939996830077468,0.00497512437810945
1,"ocular_corr",1,"gaze",4,0.414487446147644,0.913597081337635,0.924284437449554,0.00497512437810945
1,"ocular_corr",1,"random",4,0.336973038750809,0.838052274012409,0.924284437449554,0.00497512437810945
1,"ocular_corr",1,"eog",2,0.35987734089645,0.86002607746585,0.924284437449554,0.00497512437810945
1,"ocular_corr",1,"frontal",17,0.41386595642046,0.913092056053302,0.924284437449554,0.00497512437810945
2,"ocular_corr",1,"gaze",4,0.422171054230875,0.92342918208282,0.932941088257591,0.00497512437810945
2,"ocular_corr",1,"random",4,0.412785036413848,0.915547355825271,0.932941088257591,0.00497512437810945
2,"ocular_corr",1,"eog",2,0.397127320296399,0.895942158043234,0.932941088257591,0.00497512437810945
2,"ocular_corr",1,"frontal",17,0.423203111117498,0.923502384519818,0.932941088257591,0.00497512437810945
3,"ocular_corr",1,"gaze",4,0.436575853378227,0.937091260451383,0.941951374855038,0.00497512437810945
3,"ocular_corr",1,"random",4,0.428029538426873,0.92870796245913,0.941951374855038,0.00497512437810945
3,"ocular_corr",1,"eog",2,0.395861215944925,0.896767941425388,0.941951374855038,0.00497512437810945
3,"ocular_corr",1,"frontal",17,0.436905178370409,0.937473588614053,0.941951374855038,0.00497512437810945
4,"ocular_corr",1,"gaze",4,0.437629958574644,0.936516071046845,0.940703611730451,0.00497512437810945
4,"ocular_corr",1,"random",4,0.424965533756625,0.923438984946073,0.940703611730451,0.00497512437810945
4,"ocular_corr",1,"eog",2,0.40128086666081,0.899955107329006,0.940703611730451,0.00497512437810945
4,"ocular_corr",1,"frontal",17,0.436137346841268,0.936258471048035,0.940703611730451,0.00497512437810945
5,"ocular_corr",1,"gaze",4,0.428336506340865,0.929104359731884,0.935853068657761,0.00497512437810945
5,"ocular_corr",1,"random",4,0.277007137239373,0.776973046896228,0.935853068657761,0.00497512437810945
5,"ocular_corr",1,"eog",2,0.398276573029464,0.899418624364532,0.935853068657761,0.00497512437810945
5,"ocular_corr",1,"frontal",17,0.427113035749899,0.928964559753857,0.935853068657761,0.00497512437810945
6,"ocular_corr",1,"gaze",4,0.440208525089613,0.941981272087149,0.949083201337209,0.00497512437810945
6,"ocular_corr",1,"random",4,0.408937096922096,0.908190386452157,0.949083201337209,0.00497512437810945
6,"ocular_corr",1,"eog",2,0.395279274173129,0.895813022820201,0.949083201337209,0.00497512437810945
6,"ocular_corr",1,"frontal",17,0.439617339696576,0.941790336560942,0.949083201337209,0.00497512437810945
7,"ocular_corr",1,"gaze",4,0.425780534189103,0.925937572404147,0.933048030502878,0.00497512437810945
7,"ocular_corr",1,"random",4,0.385928520727125,0.887209539421914,0.933048030502878,0.00497512437810945
7,"ocular_corr",1,"eog",2,0.372623627132643,0.872548011414072,0.933048030502878,0.00497512437810945
7,"ocular_corr",1,"frontal",17,0.426843028623032,0.926613419073611,0.933048030502878,0.00497512437810945
8,"ocular_corr",1,"gaze",4,0.42285421643157,0.922416005881468,0.926640866852272,0.00497512437810945
8,"ocular_corr",1,"random",4,0.189371120484751,0.688620043978104,0.926640866852272,0.00497512437810945
8,"ocular_corr",1,"eog",2,0.356950984359521,0.857493926010886,0.926640866852272,0.00497512437810945
8,"ocular_corr",1,"frontal",17,0.42139024105673,0.921444903593191,0.926640866852272,0.00497512437810945
9,"ocular_corr",1,"gaze",4,0.413799503482828,0.915038628143695,0.92015386411705,0.00497512437810945
9,"ocular_corr",1,"random",4,0.38383936811825,0.884792802508504,0.92015386411705,0.00497512437810945
9,"ocular_corr",1,"eog",2,0.366557267107193,0.86885665926419,0.92015386411705,0.00497512437810945
9,"ocular_corr",1,"frontal",17,0.415098558856404,0.915041746990877,0.92015386411705,0.00497512437810945
10,"ocular_corr",1,"gaze",4,0.43218317814825,0.932616659979661,0.937372383276156,0.00497512437810945
10,"ocular_corr",1,"random",4,0.307452962072973,0.806238436054831,0.937372383276156,0.00497512437810945
10,"ocular_corr",1,"eog",2,0.420957646640649,0.920358274792862,0.937372383276156,0.00497512437810945
10,"ocular_corr",1,"frontal",17,0.432507904205024,0.932426634922781,0.937372383276156,0.00497512437810945
11,"ocular_corr",1,"gaze",4,0.434155625645009,0.936252806344356,0.94065102033315,0.00497512437810945
11,"ocular_corr",1,"random",4,0.416786103918068,0.916006881447502,0.94065102033315,0.00497512437810945
11,"ocular_corr",1,"eog",2,0.405830261915278,0.907208853726912,0.94065102033315,0.00497512437810945
11,"ocular_corr",1,"frontal",17,0.433228441695141,0.936297781444607,0.94065102033315,0.00497512437810945
12,"ocular_corr",1,"gaze",4,0.433461785160773,0.929331861918207,0.935675611989455,0.00497512437810945
12,"ocular_corr",1,"random",4,0.290451141179323,0.787436839738205,0.935675611989455,0.00497512437810945
12,"ocular_corr",1,"eog",2,0.40324316116096,0.901028285577884,0.935675611989455,0.00497512437810945
12,"ocular_corr",1,"frontal",17,0.432649834934003,0.92973228667087,0.935675611989455,0.00497512437810945
1,"ocular_corr",2,"gaze",4,0.412452054292388,0.911385053608922,0.919481229416603,0.00497512437810945
1,"ocular_corr",2,"random",4,0.402705166228172,0.903616922425596,0.919481229416603,0.00497512437810945
1,"ocular_corr",2,"eog",2,0.40867132272444,0.908483814429918,0.919481229416603,0.00497512437810945
1,"ocular_corr",2,"frontal",17,0.412348955174526,0.911434430802949,0.919481229416603,0.00497512437810945
2,"ocular_corr",2,"gaze",4,0.422575629670755,0.924086315377077,0.930824677766297,0.00497512437810945
2,"ocular_corr",2,"random",4,0.421098117171758,0.923579581144126,0.930824677766297,0.00497512437810945
2,"ocular_corr",2,"eog",2,0.425688892122864,0.924987757091642,0.930824677766297,0.00497512437810945
2,"ocular_corr",2,"frontal",17,0.423541064350857,0.924295571738076,0.930824677766297,0.00497512437810945
3,"ocular_corr",2,"gaze",4,0.435500052481462,0.936095978790679,0.939073207244223,0.00497512437810945
3,"ocular_corr",2,"random",4,0.440357343001029,0.941240229467507,0.939073207244223,0.00497512437810945
3,"ocular_corr",2,"eog",2,0.431879023207821,0.933182505496698,0.939073207244223,0.00497512437810945
3,"ocular_corr",2,"frontal",17,0.435709888648475,0.936428596783733,0.939073207244223,0.00497512437810945
4,"ocular_corr",2,"gaze",4,0.437309635397209,0.936213117585686,0.939120961140316,0.00497512437810945
4,"ocular_corr",2,"random",4,0.434385859734945,0.933816240549994,0.939120961140316,0.00497512437810945
4,"ocular_corr",2,"eog",2,0.440251981862786,0.939718143512814,0.939120961140316,0.00497512437810945
4,"ocular_corr",2,"frontal",17,0.435969776297029,0.936048068145336,0.939120961140316,0.00497512437810945
5,"ocular_corr",2,"gaze",4,0.429184731610067,0.929899084045758,0.934527361652445,0.00497512437810945
5,"ocular_corr",2,"random",4,0.3961332454774,0.896550682055999,0.934527361652445,0.00497512437810945
5,"ocular_corr",2,"eog",2,0.427015759838425,0.927737495797382,0.934527361652445,0.00497512437810945
5,"ocular_corr",2,"frontal",17,0.42833221736225,0.92997031465185,0.934527361652445,0.00497512437810945
6,"ocular_corr",2,"gaze",4,0.438868469602539,0.941016131085973,0.945784973633649,0.00497512437810945
6,"ocular_corr",2,"random",4,0.444209460685677,0.944205706317609,0.945784973633649,0.00497512437810945
6,"ocular_corr",2,"eog",2,0.44096812122231,0.94294919940719,0.945784973633649,0.00497512437810945
6,"ocular_corr",2,"frontal",17,0.438174913333899,0.940660551139214,0.945784973633649,0.00497512437810945
7,"ocular_corr",2,"gaze",4,0.427858736799511,0.928001032055454,0.932552185629348,0.00497512437810945
7,"ocular_corr",2,"random",4,0.425637214961874,0.926896775192079,0.932552185629348,0.00497512437810945
7,"ocular_corr",2,"eog",2,0.421709807374778,0.921136993678812,0.932552185629348,0.00497512437810945
7,"ocular_corr",2,"frontal",17,0.42868170482884,0.928488574635315,0.932552185629348,0.00497512437810945
