"montage","sacc_deg","r2_gx","r2_gx_sd","r2_gy","r2_gy_sd","r2_sacc","r2_sacc_sd","blink_auc","blink_auc_sd","mean_r2_all","mean_r2_cont"
"erpcore",0.25,0.352570996252605,0.0168101705554321,0.761079836225312,0.024864596773313,0.349216364639545,0.0170457268274956,0.992709318512526,0.00382499995217079,0.496709915744699,0.487622399039154
"erpcore",0.5,0.700668063486884,0.0169126925945961,0.759323220963782,0.024662122260296,0.693274927812073,0.0169873476227947,0.992344430840491,0.00389249833741579,0.668412636092005,0.71775540408758
"erpcore",1,0.923232165076828,0.0075062312921772,0.754080215498996,0.0238204169730271,0.913252245630987,0.00751161912362716,0.990862635560139,0.0041348606057941,0.774511230849856,0.863521542068937
"erpcore",2,0.982636008743268,0.00221015561203583,0.738830077585856,0.0211959419566053,0.97196241641147,0.0022225638565283,0.985190248741054,0.00477427337965473,0.79028735617372,0.897809500913531
"erpcore",4,0.995065501976849,0.000636309096002533,0.704796070249234,0.016463529932435,0.984247813508109,0.000696884026555657,0.968094365024644,0.00593250653827366,0.767986585168108,0.894703128578064
"erpcore",8,0.997973229060496,0.000178431885368339,0.619858708499824,0.0123382872801272,0.987124223003912,0.000350165382539577,0.944058586479411,0.00738978667157271,0.724193654374165,0.868318720188077
"erpcore",12,0.998514991620159,8.21465649517985e-05,0.504677003764697,0.0109594048781762,0.987662027246967,0.000325831109516771,0.933753812783759,0.00826669795991292,0.678949759070716,0.830284674210608
"full",0.25,0.474281137228439,0.0274084707658422,0.880449489721389,0.0236408840983159,0.468984818708224,0.0268953024015505,1,0,0.663807619360525,0.607905148552684
"full",0.5,0.81108376813306,0.0233610076507868,0.87799264285888,0.0237457059473896,0.801858205085807,0.0230053951222277,1,0,0.829848317074325,0.830311538692582
"full",1,0.958565306106167,0.00830526375883858,0.871540262083068,0.0239650848356328,0.94777248068738,0.00817182711537187,1,0,0.898935812976172,0.925959349625538
"full",2,0.990795936688062,0.0023215805273926,0.850305799675052,0.0241115587449432,0.979755308486415,0.00228809348095204,0.999999590859473,1.41730435929187e-06,0.900157742626216,0.940285681616509
"full",4,0.997483402026658,0.00068993825822364,0.792817262550435,0.0217886886031638,0.986439358752768,0.000733730756583681,0.999829344223535,0.000181584567758252,0.861533959560628,0.92558000777662
"full",8,0.999143081232544,0.000209388343068172,0.701474196278468,0.0155743040264008,0.988118341926093,0.000376989400849691,0.992089149445637,0.00239277821621589,0.795396451075406,0.896245206479035
"full",12,0.999475999937945,0.000100213587718092,0.633404299216393,0.0129313149394087,0.988461620912629,0.000343969619084587,0.979225626064567,0.0041501986616815,0.754644491445047,0.873780640022322
