"ypos","s_true","s_weights","s_weights_sd","s_haufe","s_haufe_sd","opi_leak","opi_sd","opi_ci"
0.388888888888889,0.646602265189165,0.468910256815846,0.0220080296785147,0.923519545397147,0.130006303166267,0.142718765679121,0.0233195039622301,0.0194955931944513
0.227777777777778,0.490653963022754,0.413513780699078,0.0222450950684792,0.968501355794475,0.0402032769029277,0.128970580086797,0.0187694386113143,0.0156916433663033
-0.416666666666667,0.133001956602719,0.145594530338504,0.0245486955803978,0.971206418640214,0.0233461521490552,0.0295206595277616,0.0143875998713335,0.0120283345044717
-0.255555555555556,0.197795504432302,0.206493586344341,0.0252548622037659,0.9732423477541,0.021674831072084,0.0497192019924171,0.0113026059706859,0.00944921506043032
-0.577777777777778,0.0730829320959228,0.0952398320308799,0.0256078168961089,0.975067358317032,0.020015211356639,0.0138311886547542,0.0190428273610274,0.0159202020808016
-0.0944444444444444,0.272929347508876,0.276027609807812,0.0256370305164443,0.976851066989488,0.01799343544764,0.0729041656399872,0.0109258972266084,0.00913427866902063
0.0666666666666667,0.366634772946956,0.348442627857908,0.0242810022994422,0.978424794302334,0.0172570675516636,0.100453651288283,0.0129363532229333,0.0108150619439642
-0.738888888888889,0.0223947001064684,0.0698652304480545,0.0341801024239676,0.984970766399638,0.0116396666204918,0.00600320692768369,0.0220437063785163,0.0184289997227019
0.55,0.806029925092988,0.516937478267772,0.0262765785990217,0.985504929563421,0.0232474815568934,0.119450679123433,0.0182532959889566,0.0152601373354674
-0.9,0.0414121783512046,0.0925210530052209,0.0417097342030342,0.993170771913992,0.00471337304090301,0.00592809961368566,0.0221427544161647,0.0185118059544224
