"ypos","overlap","opi_leak","opi_sd"
-0.738888888888889,0.0223947001064684,0.00600320692768369,0.0220437063785163
-0.9,0.0414121783512046,0.00592809961368566,0.0221427544161647
-0.577777777777778,0.0730829320959228,0.0138311886547542,0.0190428273610274
-0.416666666666667,0.133001956602719,0.0295206595277616,0.0143875998713335
-0.255555555555556,0.197795504432302,0.0497192019924171,0.0113026059706859
-0.0944444444444444,0.272929347508876,0.0729041656399872,0.0109258972266084
0.0666666666666667,0.366634772946956,0.100453651288283,0.0129363532229333
0.227777777777778,0.490653963022754,0.128970580086797,0.0187694386113143
0.388888888888889,0.646602265189165,0.142718765679121,0.0233195039622301
0.55,0.806029925092988,0.119450679123433,0.0182532959889566
