"contrast","n","auc_full","auc_proj","opi","p_value"
"left_vs_right_imagery (clean negative control, within-subj CV)",180,0.601386536169145,0.500992063492063,-0.0226573734236777,0.998003992015968
"rest_vs_move (subject-wise LOSO; frontal-proxy leakage demo)",360,0.671728395061728,0.614567901234568,0.11448987654321,0.00199600798403194
