"seed","scenario","montage","coupling","sacc_deg","shuffle","opi","auc_proj","auc_ceiling","null_mean","p_value","opi_truth","bias","gaze_r2","r2_gx","r2_blink"
1,"ocular_corr","full",0,8,FALSE,-0.0199893559371808,0.477256103743258,0.67282906644427,0.497245459680439,0.791044776119403,-0.0240155323808288,0.004026176443648,0.799333809139943,0.998893069284704,0.493624482562508
2,"ocular_corr","full",0,8,FALSE,-0.0339371415110387,0.46589966009176,0.643997177664388,0.499836801602799,0.895522388059702,-0.0071220167719388,-0.0268151247390999,0.792646863392189,0.999323862414687,0.482885481737139
3,"ocular_corr","full",0,8,FALSE,0.0112139803168406,0.512281065123747,0.61697550278379,0.501067084806906,0.353233830845771,0.0198639582197151,-0.00864997790287447,0.796760313715193,0.999168302240607,0.491361657671823
4,"ocular_corr","full",0,8,FALSE,-0.010111602128328,0.489917607141741,0.597275912912481,0.500029209270069,0.741293532338308,-0.0420681525839147,0.0319565504555868,0.799084400153863,0.999098387126071,0.500920038438999
5,"ocular_corr","full",0,8,FALSE,-0.0478014220513368,0.454383614345664,0.657739482817593,0.502185036397001,0.940298507462687,-0.057485856910017,0.00968443485868015,0.790708067669473,0.999303935209624,0.459155039726446
6,"ocular_corr","full",0,8,FALSE,0.00764077891364956,0.509564349477749,0.643718306173077,0.501923570564099,0.417910447761194,0.00935270744277017,-0.00171192852912061,0.798328902919005,0.999072733668961,0.51775656125661
7,"ocular_corr","full",0,8,FALSE,-0.0539580713145899,0.447743071618938,0.669517217680584,0.501701142933528,0.975124378109453,-0.0521054997746059,-0.00185257153998397,0.790660311503988,0.999050339799174,0.476805478645538
8,"ocular_corr","full",0,8,FALSE,-0.00357301102398977,0.496887441488518,0.65302488895016,0.500460452512508,0.656716417910448,-0.00191745130424614,-0.00165555971974363,0.795828718117825,0.99874488996287,0.500397507454613
9,"ocular_corr","full",0,8,FALSE,-0.00576892285085595,0.495734188070195,0.607436922504603,0.501503110921051,0.646766169154229,0.0142814878656283,-0.0200504107164843,0.797883970736528,0.999039234978065,0.508050559554216
10,"ocular_corr","full",0,8,FALSE,-0.00336267704210857,0.49860965793554,0.594355195770095,0.501972334977649,0.641791044776119,-0.0115155424914066,0.008152865449298,0.798761790666676,0.999442852304774,0.48716992118085
11,"ocular_corr","full",0,8,FALSE,0.00850949142096302,0.508032498797993,0.596986948080538,0.49952300737703,0.45273631840796,0.00871519971346624,-0.000205708292503215,0.803710217637223,0.999449728168478,0.517851047213451
12,"ocular_corr","full",0,8,FALSE,-0.00218744292111001,0.495977994083878,0.638700122604814,0.498165437004988,0.597014925373134,-0.0439183802014234,0.0417309372803134,0.783011685315882,0.999151211737198,0.482908275498937
1,"ocular_corr","full",0.2,8,FALSE,0.0924823255264762,0.589556790694556,0.633107483176833,0.497074465168079,0.00497512437810945,0.0935745208073481,-0.00109219528087184,0.799060263205898,0.998895123161251,0.492811970157806
2,"ocular_corr","full",0.2,8,FALSE,0.100428504252309,0.600050842963792,0.646113491397733,0.499622338711482,0.00497512437810945,0.0952036546521594,0.00522484960014996,0.793098322150811,0.999314663449665,0.483906818129384
3,"ocular_corr","full",0.2,8,FALSE,0.102453896810538,0.601925911718938,0.640593118227122,0.4994720149084,0.00497512437810945,0.105645343639885,-0.0031914468293473,0.796503908539818,0.999174074465347,0.490937652746433
4,"ocular_corr","full",0.2,8,FALSE,0.105815530221236,0.603814566186291,0.630785469306801,0.497999035965056,0.00497512437810945,0.10299079598378,0.00282473423745588,0.799003949429613,0.99909757762712,0.500641912070205
5,"ocular_corr","full",0.2,8,FALSE,0.0742706537809853,0.578797977047153,0.628058089234187,0.504527323266167,0.00497512437810945,0.0773970441577083,-0.00312639037672302,0.790436300162191,0.999305243592867,0.458599075590534
6,"ocular_corr","full",0.2,8,FALSE,0.117612563228242,0.617426121252279,0.650951517685413,0.499813558024037,0.00497512437810945,0.116059413589404,0.00155314963883824,0.798111748407767,0.999062975752817,0.516999283175029
7,"ocular_corr","full",0.2,8,FALSE,0.0776546192725085,0.579176648179311,0.631032446942762,0.501522028906803,0.00497512437810945,0.0819672335374231,-0.00431261426491458,0.790716316431407,0.999045234662245,0.476642067210165
8,"ocular_corr","full",0.2,8,FALSE,0.112379572409274,0.611980685992203,0.646783641979537,0.499601113582929,0.00497512437810945,0.112709159728412,-0.000329587319137847,0.795780377108002,0.998753895481643,0.500358127920809
9,"ocular_corr","full",0.2,8,FALSE,0.098198927795311,0.602419490006083,0.639810813017063,0.504220562210772,0.00497512437810945,0.102352571872433,-0.00415364407712193,0.798112060323634,0.999042965943638,0.508648828108804
10,"ocular_corr","full",0.2,8,FALSE,0.0868537775463087,0.586471330441035,0.619553861494976,0.499617552894726,0.00497512437810945,0.088046227129718,-0.00119244958340936,0.798533225552916,0.999439395295667,0.486573131209971
11,"ocular_corr","full",0.2,8,FALSE,0.124444248522372,0.624734107603516,0.651118327769708,0.500289859081144,0.00497512437810945,0.12607202129203,-0.00162777276965831,0.803303105615126,0.999448161927949,0.516816485474193
12,"ocular_corr","full",0.2,8,FALSE,0.105794263569896,0.60372548716747,0.640485643386769,0.497931223597574,0.00497512437810945,0.107859158509906,-0.00206489494000928,0.782411052525807,0.999155265946627,0.481717698002694
1,"ocular_corr","full",0.4,8,FALSE,0.186365241790664,0.684593986354972,0.70281342113265,0.498228744564308,0.00497512437810945,0.186159180080043,0.000206061710621042,0.798784644523737,0.99889264190227,0.492229700800506
2,"ocular_corr","full",0.4,8,FALSE,0.189255011748198,0.689865811216939,0.710856897543198,0.500610799468741,0.00497512437810945,0.185615561881067,0.00363944986713172,0.792919255862243,0.999312462176833,0.483483473010565
3,"ocular_corr","full",0.4,8,FALSE,0.201754399332653,0.699469516544847,0.716118152699477,0.497715117212194,0.00497512437810945,0.203822431201206,-0.00206803186855314,0.796519200102326,0.999171054920903,0.490879551072666
4,"ocular_corr","full",0.4,8,FALSE,0.203385077471807,0.702247072689731,0.715502398940425,0.498861995217925,0.00497512437810945,0.203535559841265,-0.000150482369458693,0.799034465274334,0.9990957174816,0.500745586255342
5,"ocular_corr","full",0.4,8,FALSE,0.19017042411497,0.693836573702234,0.711902293414212,0.503666149587264,0.00497512437810945,0.192227189602097,-0.00205676548712674,0.790486271656902,0.999305528122278,0.458724167387097
6,"ocular_corr","full",0.4,8,FALSE,0.217396816664855,0.71835995213997,0.731703853169468,0.500963135475115,0.00497512437810945,0.219073566256236,-0.00167674959138142,0.798505435860832,0.999068795526633,0.518069361564887
7,"ocular_corr","full",0.4,8,FALSE,0.184853421119546,0.686412436869478,0.704795897645158,0.501559015749932,0.00497512437810945,0.188348495630817,-0.00349507451127107,0.791181035984896,0.999046197577426,0.477970386117973
8,"ocular_corr","full",0.4,8,FALSE,0.206783608749419,0.706887574401373,0.723215527471686,0.500103965651954,0.00497512437810945,0.206013241279498,0.000770367469920707,0.795809684201489,0.998750617147558,0.500342641346188
