"montage","sacc_deg","opi_m","opi_sd","proj_m","ceil_m","bias_m","bias_sd","r2_m","p_med","frac_sig","tier","tier_heldout"
"erpcore",0.25,0.373227265853357,0.0208268782253103,0.873363011230214,0.903148914701365,-0.0559567465553531,0.0176945431433844,0.496709915744699,0.00497512437810945,1,"exploratory","inconclusive"
"erpcore",0.5,0.42633273156407,0.0105840576184695,0.926614333832462,0.938523287789166,-0.00267097436195414,0.00514882868125251,0.668412636092005,0.00497512437810945,1,"confirmatory","confirmatory"
"erpcore",1,0.42866771359036,0.00940899477260671,0.928921812560345,0.936129731009142,-0.000103210572242089,0.00321902370832108,0.774511230849856,0.00497512437810945,1,"confirmatory","confirmatory"
"erpcore",2,0.428603445556162,0.00915554252374886,0.928859851083506,0.933512361602267,-3.62796285597696e-06,0.00263806023873127,0.79028735617372,0.00497512437810945,1,"confirmatory","confirmatory"
"erpcore",4,0.428671527498528,0.00882596421807061,0.928979329997379,0.931259818602703,0.000153962318441396,0.00240997704093531,0.767986585168108,0.00497512437810945,1,"confirmatory","confirmatory"
"erpcore",8,0.428565103794699,0.00855101983455154,0.929023357618997,0.929769872875342,9.54404974208428e-05,0.00210694198095301,0.724193654374165,0.00497512437810945,1,"confirmatory","confirmatory"
"erpcore",12,0.428536107409995,0.00832941433572778,0.92908316310479,0.929430650520968,7.78859979781247e-06,0.001975915764803,0.678949759070716,0.00497512437810945,1,"confirmatory","confirmatory"
