"seed","opi","auc_proj","auc_ceiling","p_value","gaze_r2","tier"
1,0.122132663668767,0.623643527066164,0.703983231486079,0.00497512437810945,0.441973078322531,"inconclusive"
2,0.153125568388654,0.653127239455817,0.768254655255138,0.00497512437810945,0.441457564787741,"inconclusive"
3,0.14761785769619,0.646115637960592,0.775397656723375,0.00497512437810945,0.423836905452064,"inconclusive"
4,0.140880085711477,0.639864060951533,0.799896551863635,0.00497512437810945,0.420615396711551,"inconclusive"
5,0.127378745677727,0.629099920709909,0.76109861075701,0.00497512437810945,0.426566339333508,"inconclusive"
6,0.154821854852245,0.657079077293893,0.731504339168871,0.00497512437810945,0.436030771030209,"inconclusive"
7,0.166724318434573,0.668003746166381,0.777740178885205,0.00497512437810945,0.425656772487996,"inconclusive"
8,0.154476461496811,0.653901763548081,0.799660236474853,0.00497512437810945,0.422183030714612,"inconclusive"
9,0.162575886365914,0.663521231352029,0.798451889071588,0.00497512437810945,0.4437418773702,"inconclusive"
10,0.16551265633903,0.664075868920232,0.800320117415869,0.00497512437810945,0.428395450929111,"inconclusive"
11,0.164457584900351,0.664436522592583,0.817135903265507,0.00497512437810945,0.429513530672118,"inconclusive"
12,0.137503325984066,0.633038169496621,0.7936034845194,0.00497512437810945,0.41276243027087,"inconclusive"
