"scenario","sacc_deg","method","rank","opi_m","opi_sd","opi_ci","proj_m","ceil_m","frac_sig"
"covert",0.25,"eog",2,0.00773390390129385,0.0202368709722575,0.0128578943821938,0.506719106635905,0.785290462984026,0.166666666666667
"covert",0.25,"frontal",17,-0.00408581650978295,0.0279211500746445,0.0177402523928388,0.495746324168473,0.785290462984026,0.0833333333333333
"covert",0.25,"gaze",4,0.00659712728623573,0.0188368797659176,0.0119683824071559,0.506624137047441,0.785290462984026,0.166666666666667
"covert",0.25,"random",4,0.0716231830927605,0.0302217403676017,0.0192019777279509,0.571328837361691,0.785290462984026,0.916666666666667
"covert",0.5,"eog",2,0.00773390390129385,0.0202368709722575,0.0128578943821938,0.506719106635905,0.785290462984026,0.166666666666667
"covert",0.5,"frontal",17,-0.00408581650978295,0.0279211500746445,0.0177402523928388,0.495746324168473,0.785290462984026,0.0833333333333333
"covert",0.5,"gaze",4,0.00659712728623573,0.0188368797659176,0.0119683824071559,0.506624137047441,0.785290462984026,0.166666666666667
"covert",0.5,"random",4,0.0716231830927605,0.0302217403676017,0.0192019777279509,0.571328837361691,0.785290462984026,0.916666666666667
"covert",1,"eog",2,0.00773390390129385,0.0202368709722575,0.0128578943821938,0.506719106635905,0.785290462984026,0.166666666666667
"covert",1,"frontal",17,-0.00408581650978295,0.0279211500746445,0.0177402523928388,0.495746324168473,0.785290462984026,0.0833333333333333
"covert",1,"gaze",4,0.00659712728623573,0.0188368797659176,0.0119683824071559,0.506624137047441,0.785290462984026,0.166666666666667
"covert",1,"random",4,0.0716231830927605,0.0302217403676017,0.0192019777279509,0.571328837361691,0.785290462984026,0.916666666666667
"covert",2,"eog",2,0.00773390390129385,0.0202368709722575,0.0128578943821938,0.506719106635905,0.785290462984026,0.166666666666667
"covert",2,"frontal",17,-0.00408581650978295,0.0279211500746445,0.0177402523928388,0.495746324168473,0.785290462984026,0.0833333333333333
"covert",2,"gaze",4,0.00659712728623573,0.0188368797659176,0.0119683824071559,0.506624137047441,0.785290462984026,0.166666666666667
"covert",2,"random",4,0.0716231830927605,0.0302217403676017,0.0192019777279509,0.571328837361691,0.785290462984026,0.916666666666667
"covert",8,"eog",2,0.00773390390129385,0.0202368709722575,0.0128578943821938,0.506719106635905,0.785290462984026,0.166666666666667
"covert",8,"frontal",17,-0.00408581650978295,0.0279211500746445,0.0177402523928388,0.495746324168473,0.785290462984026,0.0833333333333333
"covert",8,"gaze",4,0.00659712728623573,0.0188368797659176,0.0119683824071559,0.506624137047441,0.785290462984026,0.166666666666667
"covert",8,"random",4,0.0716231830927605,0.0302217403676017,0.0192019777279509,0.571328837361691,0.785290462984026,0.916666666666667
"ocular_corr",0.25,"eog",2,0.144088307445971,0.020185551774132,0.0128252877193267,0.643988541729037,0.924818380136636,1
"ocular_corr",0.25,"frontal",17,0.40145821245553,0.019492263145509,0.0123847931401286,0.901568516462723,0.924818380136636,1
"ocular_corr",0.25,"gaze",4,0.395560675434224,0.0243630675818275,0.015479554631881,0.895476373671523,0.924818380136636,1
"ocular_corr",0.25,"random",4,0.14868487074645,0.0515569867763849,0.0327577465678216,0.648380135356661,0.924818380136636,1
"ocular_corr",0.5,"eog",2,0.26450125460162,0.0252841019024984,0.0160647519202264,0.764484564241629,0.9373566196532,1
"ocular_corr",0.5,"frontal",17,0.427618851520721,0.00864124199336444,0.00549038322347236,0.927889426931722,0.9373566196532,1
"ocular_corr",0.5,"gaze",4,0.427283710928424,0.00942353101361727,0.00598742595367259,0.927358509511794,0.9373566196532,1
"ocular_corr",0.5,"random",4,0.244704756601853,0.0796196145370098,0.050587889593766,0.744468224773567,0.9373566196532,1
"ocular_corr",1,"eog",2,0.389488794943118,0.020318181312481,0.0129095565076383,0.889618078519585,0.93486321327988,1
"ocular_corr",1,"frontal",17,0.42821333146387,0.00844369887258449,0.00536487031258808,0.928553180770495,0.93486321327988,1
"ocular_corr",1,"gaze",4,0.428470348901617,0.00877825148262118,0.00557743489982274,0.928609396784104,0.93486321327988,1
"ocular_corr",1,"random",4,0.355210549834176,0.075287414835341,0.0478353412238628,0.855101212811694,0.93486321327988,1
"ocular_corr",2,"eog",2,0.427924648228625,0.0102623476689229,0.00652038462968185,0.928136267866553,0.93301617237044,1
"ocular_corr",2,"frontal",17,0.428300978140356,0.00824957286362455,0.00524152853097246,0.928685283205937,0.93301617237044,1
"ocular_corr",2,"gaze",4,0.428452202334582,0.0086492215476756,0.00549545319040008,0.928626312677977,0.93301617237044,1
"ocular_corr",2,"random",4,0.412713613967507,0.0362897092901022,0.023057381244972,0.912824205764475,0.93301617237044,1
"ocular_corr",8,"eog",2,0.429085795452499,0.00884063647593715,0.00561707243352004,0.929419735615793,0.929693797865666,1
"ocular_corr",8,"frontal",17,0.428522292074775,0.00846603715906754,0.00537906338268632,0.928937838134484,0.929693797865666,1
"ocular_corr",8,"gaze",4,0.428572101508816,0.00849902510309565,0.00540002292236914,0.92891283360062,0.929693797865666,1
"ocular_corr",8,"random",4,0.428243114434173,0.00973068715425636,0.00618258365471213,0.928641917625451,0.929693797865666,1
